lighting_score,crowd_history,incident_history,isolation_score,time_of_day_risk,police_coverage,risk_label
0.7739560485559633,0.8292211412031192,0.14931213732572604,0.9707848178590684,0.49009842655572744,0.06442177752673961,1
0.4388784397520523,0.5940959869511878,0.1969632926576165,0.35028551024667065,0.6399150401772083,0.7129502841202989,1
0.8585979199113825,0.24485474719371592,0.3157544528286404,0.0065813723191826545,0.9435369782558571,0.2519355302558405,1
0.6973680290593639,0.7456750006602998,0.4414151074615897,0.8845853114145206,0.7800844877367364,0.25490169654154915,1
0.09417734788764953,0.08448089567707195,0.12053250306634901,0.5998045333368279,0.42850074229517465,0.5472382450524955,1
0.9756223516367559,0.7744178344487831,0.4411068586595617,0.8173922948410067,0.6454207064345764,0.6963008512305778,1
0.761139701990353,0.5899852222430135,0.34450096453350376,0.43502471563596545,0.18587087544380487,0.1592278225083974,1
0.7860643052769538,0.11075031839640159,0.3174436997797084,0.3541818830139334,0.4239423957328988,0.31451148096393766,1
0.12811363267554587,0.07950556309237022,0.22006756499748084,0.6551894430479303,0.7913013333024831,0.7161210042500564,1
0.45038593789556713,0.7508363334364625,0.3241332920273888,0.40600087489112846,0.6065897144957917,0.1520019932099389,1
0.37079802423258124,0.29293590650383716,0.13430879919236233,0.5562085980209214,0.7832491476711906,0.8497084763496754,1
0.9267649888486018,0.8893018507672135,0.2135288727196052,0.27782287811474393,0.5098167354722231,0.4560427941624261,0
0.6438651200806645,0.762073021030176,0.44187143525507605,0.33264540673077503,0.3801434342948299,0.5859902502085138,1
0.82276161327083,0.6981902447177161,0.33781453892329183,0.08219076322172136,0.7425403780879463,0.08039839837549423,1
0.44341419882733113,0.27860605263345095,0.35798617193464516,0.7813719867183654,0.09375485847996035,0.9545012443013138,1
0.2272387217847769,0.7089445190216179,0.7703522521496339,0.34885082697389713,0.9786068342296788,0.9075322549713224,2
0.5545847870158348,0.948147684514834,0.20219440201126251,0.9749991454311245,0.9483737740040341,0.19007871612006366,1
0.06381725610417532,0.09155983437056892,0.3704276274290865,0.2597588241187918,0.8803686062028643,0.6631022765288972,1
0.8276311719925821,0.32616264200356604,0.11531333247711904,0.47505268026952574,0.8842780988496456,0.7931172187323229,1
0.6316643991220648,0.23467226546159414,0.5389991213253186,0.30553220053839114,0.5110561205014259,0.12196740183602905,1
0.7580877400853738,0.3932501344006667,0.2545151196259893,0.6939253749156737,0.49794572045387164,0.5774535594092642,1
0.35452596812986836,0.7423326548539464,0.29139015003449237,0.8083659196204206,0.8200821714832536,0.8504539301383987,1
0.9706980243949033,0.47424258142538656,0.05629077168213109,0.4870107305178776,0.2832565122008054,0.5067140974407149,0
0.8931211213221977,0.5707306061202463,0.2542658148760954,0.36692755740621197,0.8499137794059852,0.9237853399248105,1
0.7783834970737619,0.31415488807834235,0.11663183091907754,0.7447513190638463,0.2008802119037837,0.04780189692061265,1
0.19463870785196757,0.14128926708710055,0.6378669892874947,0.19145504406402525,0.8791072710779311,0.9192106829736737,1
0.4667210037270342,0.26693364893772853,0.2435550459647796,0.599466338212132,0.5410852197856519,0.9772180477276216,1
0.04380376578722878,0.859680301241987,0.14946492541199166,0.7336244602729196,0.8432110276584037,0.15594210097311634,2
0.15428949206754783,0.6024169621534105,0.2526795057413271,0.2692696113790727,0.49314278356899177,0.43095019660909006,1
0.6830489532424546,0.3779886731972337,0.17100879418203455,0.6556993401140194,0.6084321860615098,0.6207649226613337,1
0.7447621559078171,0.7899059817355876,0.01765302641444635,0.7352261450869261,0.9267861301740756,0.8932382882887512,1
0.96750973243421,0.06445743245490876,0.2683398428121951,0.1174166294840725,0.418212252308099,0.15952617288973814,0
0.32582535813815194,0.2538910879223857,0.1199999704763621,0.3239074843391698,0.2202863880406466,0.33402795807080854,1
0.3704597060348689,0.23010315405733928,0.27315460563418476,0.40630604793418834,0.09098033846338871,0.7979298117010196,1
0.4695558112758079,0.9853645621682221,0.5197954546649473,0.7759573970598979,0.5899790636562154,0.41000456271191565,1
0.1894713590842857,0.7060985823927602,0.42469583734796085,0.56750513291254,0.611085120340012,0.6049434747744405,1
0.12992150533547164,0.6177859363885542,0.48531807078781514,0.4495614731369105,0.6207051093411621,0.5600055232166615,1
0.47570492622593374,0.004984965294472898,0.3141285380000443,0.31877244867089605,0.037166120758105325,0.9731716956765959,0
0.2269093490508841,0.18431000208985737,0.26190529375521027,0.004061367224883705,0.02741548690539819,0.1415312239168175,1
0.6698139946825103,0.6355412929730783,0.08784974629492392,0.020220090963587012,0.895417020052927,0.9484405620876156,0
0.43715191887233074,0.37971932648166573,0.35715295913447337,0.24044622573625862,0.695501983225365,0.5641507156878806,1
0.8326781960578374,0.9242803836790608,0.5154300262618537,0.11669060583509261,0.11331720798663847,0.9041522580553261,0
0.7002651020022491,0.7647242191417579,0.29424360162069874,0.11958659702777541,0.07463679374126297,0.11794213684903898,0
0.31236664138204107,0.44738407280411996,0.7279274727337194,0.6027396240664463,0.16185701409143138,0.6415030138798876,1
0.8322598013952011,0.7495149775382705,0.2969071542232956,0.6054553232201946,0.8069189800609066,0.8401100363445436,1
0.8047643574968019,0.9754043238262216,0.47829345552958374,0.044772109437343,0.7230860277436099,0.7868815014136002,1
0.38747837903017446,0.4609808247014706,0.20104067747172516,0.5939352518004133,0.6386531889914377,0.009938322534245758,1
0.2883281039302441,0.6425258878885334,0.20310383578809116,0.14581859403370157,0.6407907871069414,0.4522054662122007,1
